City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,val-d'or,48.1002,-77.7828,20.05,60,75,3.6,CA,1689698830
302,hadibu,12.65,54.0333,25.53,76,14,9.41,YE,1689698851
303,berdigestyakh,62.0989,126.6992,11.78,93,94,2.58,RU,1689698851
304,mount pearl,47.5166,-52.7813,28.03,79,75,9.26,CA,1689698851
305,bacalar,18.6667,-88.3833,31.06,66,75,5.14,MX,1689698776
306,ranibennur,14.6167,75.6167,21.97,89,100,7.33,IN,1689698851
307,zapadnaya dvina,56.259,32.0745,13.03,96,100,6.25,RU,1689698852
308,makarov,48.6333,142.8,14.06,94,3,2.49,RU,1689698852
309,el calafate,-50.3408,-72.2768,-1.83,65,83,0.61,AR,1689698852
310,kibaya,-5.3,36.5667,17.49,54,6,4.44,TZ,1689698853
311,rawai,7.7797,98.3253,26.06,83,99,8.9,TH,1689698853
312,guajara mirim,-10.7828,-65.3394,32.09,58,0,3.6,BR,1689698853
313,popondetta,-8.7537,148.2534,21.9,88,100,1.33,PG,1689698853
314,barcarena,-1.5058,-48.6258,32.03,50,10,2.4,BR,1689698854
315,akcakale,36.7111,38.9475,34.03,9,0,3.44,TR,1689698854
316,muborak,39.2553,65.1528,32.32,27,17,8.25,UZ,1689698854
317,onguday,50.75,86.15,15.33,88,0,0.78,RU,1689698854
318,ramadi,33.4226,43.3058,38.07,9,0,4.77,IQ,1689698855
319,priladozhskiy,59.85,31.4833,16.23,86,100,1.33,RU,1689698855
320,colinas,-6.0258,-44.2492,36.26,24,2,2.48,BR,1689698855
321,hendersonville,36.3048,-86.62,33.41,61,41,0.89,US,1689698611
322,bikenibeu village,1.3673,173.1241,26.98,83,75,2.06,KI,1689698855
323,usinsk,65.9939,57.5281,21.35,64,74,0.34,RU,1689698856
324,danilovka,50.3557,44.1168,21.29,66,83,2.78,RU,1689698856
325,az zubayr,30.3945,47.7011,42.92,8,0,4.12,IQ,1689698856
326,prince rupert,54.3161,-130.3201,13.83,97,100,10.29,CA,1689698856
327,zavitinsk,50.1167,129.45,19.23,72,1,1.84,RU,1689698857
328,new norfolk,-42.7826,147.0587,7.18,77,73,2.74,AU,1689698857
329,saint-pierre,-21.3393,55.4781,21.82,78,0,8.75,RE,1689698857
330,novokayakent,42.3937,47.9861,24.32,58,36,4.57,RU,1689698857
331,esperanca,-7.0331,-35.8572,26.21,71,60,6.91,BR,1689698583
332,la palma,33.8464,-118.0467,32.88,69,20,1.54,US,1689698857
333,northam,51.0333,-4.2167,17.01,89,100,6.76,GB,1689698858
334,dunedin,-45.8742,170.5036,7.61,80,68,2.22,NZ,1689698858
335,hays,30.0502,-98.0336,36.45,47,0,1.79,US,1689698830
336,collie,-33.3667,116.15,11.59,93,98,6.09,AU,1689698858
337,yelizovo,53.1873,158.3805,11.08,100,0,2.0,RU,1689698490
338,paraguacu,-21.5472,-45.7375,29.32,27,70,3.18,BR,1689698858
339,port lavaca,28.615,-96.6261,36.27,55,40,3.09,US,1689698859
340,acara,-1.9608,-48.1967,34.83,36,12,2.32,BR,1689698859
341,taroa,8.7058,171.2275,27.97,80,100,5.23,MH,1689698859
342,cidreira,-30.1811,-50.2056,13.66,54,98,3.15,BR,1689698859
343,vila franca do campo,37.7167,-25.4333,23.23,63,75,0.97,PT,1689698859
344,whangarei,-35.7317,174.3239,8.4,97,23,1.53,NZ,1689698755
345,hotan,37.0997,79.9269,33.62,13,7,3.04,CN,1689698860
346,jianshui,23.6363,102.8264,18.43,91,100,1.11,CN,1689698860
347,mawu,29.5923,107.3139,21.99,85,100,1.54,CN,1689698860
348,isla vista,34.4133,-119.861,29.99,82,75,2.06,US,1689698860
349,evergreen,39.6333,-105.3172,31.32,25,39,2.68,US,1689698860
350,'ain abid,36.2319,6.9433,36.93,13,63,8.24,DZ,1689698860
351,aioun,16.6614,-9.6149,37.93,29,89,2.02,MR,1689698861
352,alice springs,-23.7,133.8833,5.75,81,0,0.0,AU,1689698861
353,christchurch,-43.5333,172.6333,8.01,83,2,0.51,NZ,1689698609
354,zorritos,-3.6805,-80.6782,30.16,67,15,3.85,PE,1689698861
355,vorgashor,67.5833,63.95,17.74,78,57,1.93,RU,1689698861
356,savanna-la-mar,18.219,-78.1332,30.97,73,40,2.07,JM,1689698861
357,sibiti,-3.6819,13.3499,27.03,49,44,0.68,CG,1689698862
